"Company","MaxIndex"
"EQT.Corporation.Energy",7
"Equifax.Inc..Financials",1
"Equinix.Information.Technology",3
"Equity.Residential.Financials",8
"Essex.Property.Trust.Inc.Financials",8
"Estee.Lauder.Cos..Consumer.Staples",9
"Eversource.Energy.Utilities",5
"Exelon.Corp..Utilities",5
"Expedia.Inc..Consumer.Discretionary",3
"Expeditors.Int.l.Industrials",1
"Express.Scripts.Health.Care",2
"Exxon.Mobil.Corp..Energy",7
"F5.Networks.Information.Technology",3
"Family.Dollar.Stores.Consumer.Discretionary",9
"Fastenal.Co.Industrials",1
"FedEx.Corporation.Industrials",1
"Fidelity.National.Information.Services.Information.Technology",4
"Fifth.Third.Bancorp.Financials",10
"First.Solar.Inc.Information.Technology",3
"FirstEnergy.Corp.Utilities",5
"Fiserv.Inc.Information.Technology",1
"FLIR.Systems.Industrials",1
"Flowserve.Corporation.Industrials",1
"Fluor.Corp..Industrials",1
"FMC.Corporation.Materials",1
"FMC.Technologies.Inc..Energy",7
"Ford.Motor.Consumer.Discretionary",1
"Fossil..Inc..Consumer.Discretionary",9
"Franklin.Resources.Financials",4
"Freeport.McMoran.Cp...Gld.Materials",7
"Frontier.Communications.Telecommunications.Services",6
"GameStop.Corp..Consumer.Discretionary",1
"Gap..The..Consumer.Discretionary",9
"Garmin.Ltd..Consumer.Discretionary",3
"General.Dynamics.Industrials",1
"General.Electric.Industrials",10
"General.Growth.Properties.Inc..Financials",8
"General.Mills.Consumer.Staples",6
"Genuine.Parts.Consumer.Discretionary",9
"Genworth.Financial.Inc..Financials",4
"Gilead.Sciences.Health.Care",2
"Goldman.Sachs.Group.Financials",4
"Goodyear.Tire...Rubber.Consumer.Discretionary",1
"Google.Inc.Class.A.Information.Technology",3
"Grainger..W.W...Inc..Industrials",1
"Halliburton.Co..Energy",7
"Hanesbrands.Inc.Consumer.Discretionary",9
"Harley.Davidson.Consumer.Discretionary",9
"Harman.Int.l.Industries.Consumer.Discretionary",1
"Harris.Corporation.Information.Technology",1
"Hartford.Financial.Svc.Gp..Financials",4
"Hasbro.Inc..Consumer.Discretionary",9
"HCP.Inc..Financials",8
"Health.Care.REIT..Inc..Financials",8
"Helmerich...Payne.Energy",7
"Hess.Corporation.Energy",7
"Hewlett.Packard.Information.Technology",3
"Home.Depot.Consumer.Discretionary",9
"Honeywell.Int.l.Inc..Industrials",1
"Hormel.Foods.Corp..Consumer.Staples",6
"Hospira.Inc..Health.Care",2
"Host.Hotels...Resorts.Financials",8
"Hudson.City.Bancorp.Financials",10
"Humana.Inc..Health.Care",2
"Huntington.Bancshares.Financials",10
"Illinois.Tool.Works.Industrials",1
"Ingersoll.Rand.PLC.Industrials",1
"Integrys.Energy.Group.Inc..Utilities",5
"Intel.Corp..Information.Technology",3
"Intercontinental.Exchange.Financials",4
"International.Bus..Machines.Information.Technology",3
"International.Paper.Materials",1
"Interpublic.Group.Consumer.Discretionary",1
"Intl.Flavors...Fragrances.Materials",1
"Intuit.Inc..Information.Technology",3
"Intuitive.Surgical.Inc..Health.Care",2
"Invesco.Ltd..Financials",4
"Iron.Mountain.Incorporated.Industrials",1
"Jacobs.Engineering.Group.Industrials",1
"Johnson...Johnson.Health.Care",6
"Johnson.Controls.Consumer.Discretionary",1
"Joy.Global.Inc..Industrials",1
"JPMorgan.Chase...Co..Financials",4
"Juniper.Networks.Information.Technology",3
"Kansas.City.Southern.Industrials",1
"Kellogg.Co..Consumer.Staples",6
"KeyCorp.Financials",10
"Keurig.Green.Mountain.Consumer.Staples",3
"Kimberly.Clark.Consumer.Staples",6
"Kimco.Realty.Financials",8
"KLA.Tencor.Corp..Information.Technology",3
"Kohl.s.Corp..Consumer.Discretionary",9
"Kroger.Co..Consumer.Staples",6
"L.Brands.Inc..Consumer.Discretionary",9
"L.3.Communications.Holdings.Industrials",1
"Laboratory.Corp..of.America.Holding.Health.Care",2
"Lam.Research.Information.Technology",3
"Legg.Mason.Financials",4
"Leggett...Platt.Industrials",9
"Lennar.Corp..Consumer.Discretionary",9
"Level.3.Communications.Telecommunications.Services",1
"Leucadia.National.Corp..Financials",4
"Lilly..Eli....Co..Health.Care",2
"Lincoln.National.Financials",4
"Linear.Technology.Corp..Information.Technology",3
"Lockheed.Martin.Corp..Industrials",2
"Loews.Corp..Financials",4
"Lowe.s.Cos..Consumer.Discretionary",9
"M.T.Bank.Corp..Financials",10
"Macerich.Financials",8
"Macy.s.Inc..Consumer.Discretionary",9
"Marathon.Oil.Corp..Energy",7
"Marriott.Int.l..Consumer.Discretionary",1
"Marsh...McLennan.Financials",4
"Martin.Marietta.Materials.Materials",1
"Masco.Corp..Industrials",9
"Mastercard.Inc..Information.Technology",3
"Mattel.Inc..Consumer.Discretionary",9
"McCormick...Co..Consumer.Staples",6
"McDonald.s.Corp..Consumer.Discretionary",6
"McGraw.Hill.Financial.Financials",1
"McKesson.Corp..Health.Care",2
"Mead.Johnson.Consumer.Staples",6
"MeadWestvaco.Corporation.Materials",1
"Medtronic.plc.Health.Care",2
"Merck...Co..Health.Care",2
"MetLife.Inc..Financials",4
"Microchip.Technology.Information.Technology",3
"Micron.Technology.Information.Technology",3
"Microsoft.Corp..Information.Technology",3
"Mohawk.Industries.Consumer.Discretionary",9
"Molson.Coors.Brewing.Company.Consumer.Staples",6
"Mondelez.International.Consumer.Staples",6
"Monsanto.Co..Materials",7
"Monster.Beverage.Consumer.Staples",6
"Moody.s.Corp.Financials",4
"Morgan.Stanley.Financials",4
"The.Mosaic.Company.Materials",7
"Motorola.Solutions.Inc..Information.Technology",3
"Murphy.Oil.Energy",7
"Mylan.N.V..Health.Care",2
"NASDAQ.OMX.Group.Financials",4
"National.Oilwell.Varco.Inc..Energy",7
"NetApp.Information.Technology",3
"Netflix.Inc..Information.Technology",3
"Newell.Rubbermaid.Co..Consumer.Discretionary",1
"Newfield.Exploration.Co.Energy",7
"Newmont.Mining.Corp...Hldg..Co...Materials",7
"NextEra.Energy.Utilities",5
"Nike.Consumer.Discretionary",9
"NiSource.Inc..Utilities",5
"Noble.Corp.Energy",7
"Noble.Energy.Inc.Energy",7
"Nordstrom.Consumer.Discretionary",9
"Norfolk.Southern.Corp..Industrials",1
"Northern.Trust.Corp..Financials",4
"Northrop.Grumman.Corp..Industrials",1
"NRG.Energy.Utilities",5
"Nucor.Corp..Materials",1
"Nvidia.Corporation.Information.Technology",3
"O.Reilly.Automotive.Consumer.Discretionary",9
"Occidental.Petroleum.Energy",7
"Omnicom.Group.Consumer.Discretionary",1
"ONEOK.Energy",7
"Oracle.Corp..Information.Technology",3
"Owens.Illinois.Inc.Materials",1
"PACCAR.Inc..Industrials",1
"Pall.Corp..Industrials",1
"Parker.Hannifin.Industrials",1
"Patterson.Companies.Health.Care",2
"Paychex.Inc..Information.Technology",9
"Pentair.Ltd..Industrials",1
"People.s.United.Financial.Financials",10
"Pepco.Holdings.Inc..Utilities",5
"PepsiCo.Inc..Consumer.Staples",6
"PerkinElmer.Health.Care",2
"Perrigo.Health.Care",2
"Pfizer.Inc..Health.Care",2
"PG.E.Corp..Utilities",5
"Philip.Morris.International.Consumer.Staples",6
"Pinnacle.West.Capital.Utilities",5
"Pioneer.Natural.Resources.Energy",7
"Pitney.Bowes.Industrials",1
"Plum.Creek.Timber.Co..Financials",8
"PNC.Financial.Services.Financials",10
"Polo.Ralph.Lauren.Corp..Consumer.Discretionary",9
"PPG.Industries.Materials",1
"PPL.Corp..Utilities",5
"Praxair.Inc..Materials",1
"Precision.Castparts.Industrials",1
"Priceline.com.Inc.Consumer.Discretionary",3
"Principal.Financial.Group.Financials",4
"Procter...Gamble.Consumer.Staples",6
"Progressive.Corp..Financials",4
"Prologis.Financials",8
"Prudential.Financial.Financials",4
"Public.Serv..Enterprise.Inc..Utilities",5
"Public.Storage.Financials",8
"Pulte.Homes.Inc..Consumer.Discretionary",9
"PVH.Corp..Consumer.Discretionary",9
"Quanta.Services.Inc..Industrials",1
"QUALCOMM.Inc..Information.Technology",3
"Quest.Diagnostics.Health.Care",2
"Range.Resources.Corp..Energy",7
"Raytheon.Co..Industrials",6
"Realty.Income.Corporation.Financials",8
"Red.Hat.Inc..Information.Technology",3
"Regeneron.Health.Care",2
"Regions.Financial.Corp..Financials",10
"Republic.Services.Inc.Industrials",5
"Reynolds.American.Inc..Consumer.Staples",6
"Robert.Half.International.Industrials",1
"Rockwell.Automation.Inc..Industrials",1
"Rockwell.Collins.Industrials",1
"Roper.Industries.Industrials",1
"Ross.Stores.Consumer.Discretionary",9
"Royal.Caribbean.Cruises.Ltd.Consumer.Discretionary",1
"Ryder.System.Industrials",1
"Salesforce.com.Information.Technology",3
"SanDisk.Corporation.Information.Technology",3
"SCANA.Corp.Utilities",5
"Schlumberger.Ltd..Energy",7
"Scripps.Networks.Interactive.Inc..Consumer.Discretionary",1
"Seagate.Technology.Information.Technology",3
"Sealed.Air.Corp..New..Materials",1
"Sempra.Energy.Utilities",5
"Sherwin.Williams.Materials",9
"Sigma.Aldrich.Materials",1
"Simon.Property.Group.Inc.Financials",8
"Skyworks.Solutions.Information.Technology",3
"SL.Green.Realty.Financials",8
"Smucker..J.M...Consumer.Staples",6
"Snap.On.Inc..Consumer.Discretionary",1
"Southern.Co..Utilities",5
"Southwest.Airlines.Industrials",1
"Southwestern.Energy.Energy",7
"Spectra.Energy.Corp..Energy",7
"St.Jude.Medical.Health.Care",2
"Stanley.Black...Decker.Consumer.Discretionary",1
"Staples.Inc..Consumer.Discretionary",9
"Starbucks.Corp..Consumer.Discretionary",9
"Starwood.Hotels...Resorts.Consumer.Discretionary",1
"State.Street.Corp..Financials",4
"Stericycle.Inc.Industrials",6
"Stryker.Corp..Health.Care",2
"SunTrust.Banks.Financials",10
"Symantec.Corp..Information.Technology",3
"Sysco.Corp..Consumer.Staples",6
"T..Rowe.Price.Group.Financials",4
"Target.Corp..Consumer.Discretionary",9
"TE.Connectivity.Ltd..Information.Technology",3
"TECO.Energy.Utilities",5
"Tenet.Healthcare.Corp..Health.Care",2
"Teradata.Corp..Information.Technology",3
"Tesoro.Petroleum.Co..Energy",7
"Texas.Instruments.Information.Technology",3
"Textron.Inc..Industrials",1
"The.Hershey.Company.Consumer.Staples",6
"The.Travelers.Companies.Inc..Financials",4
"Thermo.Fisher.Scientific.Health.Care",2
"Tiffany...Co..Consumer.Discretionary",9
"Time.Warner.Inc..Consumer.Discretionary",1
"Time.Warner.Cable.Inc..Consumer.Discretionary",1
"TJX.Companies.Inc..Consumer.Discretionary",9
"Torchmark.Corp..Financials",4
"Total.System.Services.Information.Technology",1
"Tractor.Supply.Company.Consumer.Discretionary",9
"Transocean.Energy",7
"Twenty.First.Century.Fox.Consumer.Discretionary",1
"Tyson.Foods.Consumer.Staples",6
"Tyco.International.Industrials",1
"U.S..Bancorp.Financials",10
"Under.Armour.Consumer.Discretionary",9
"Union.Pacific.Industrials",1
"United.Health.Group.Inc..Health.Care",2
"United.Parcel.Service.Industrials",1
"United.Rentals..Inc..Industrials",1
"United.Technologies.Industrials",1
"Universal.Health.Services..Inc..Health.Care",2
"Unum.Group.Financials",4
"Urban.Outfitters.Consumer.Discretionary",9
"V.F..Corp..Consumer.Discretionary",9
"Valero.Energy.Energy",7
"Varian.Medical.Systems.Health.Care",2
"Ventas.Inc.Financials",8
"Verisign.Inc..Information.Technology",3
"Verizon.Communications.Telecommunications.Services",6
"Vertex.Pharmaceuticals.Inc.Health.Care",2
