"Company","MinIndex"
"X3M.Company.Industrials",6
"Abbott.Laboratories.Health.Care",10
"Accenture.plc.Information.Technology",8
"ACE.Limited.Financials",4
"Adobe.Systems.Inc.Information.Technology",1
"AES.Corp.Utilities",8
"Aetna.Inc.Health.Care",8
"AFLAC.Inc.Financials",1
"Affiliated.Managers.Group.Inc.Financials",4
"Agilent.Technologies.Inc.Health.Care",2
"AGL.Resources.Inc..Utilities",4
"Air.Products...Chemicals.Inc.Materials",3
"Airgas.Inc.Materials",3
"Akamai.Technologies.Inc.Information.Technology",4
"Alcoa.Inc.Materials",7
"Allergan.plc.Health.Care",3
"Alexion.Pharmaceuticals.Health.Care",8
"Allegheny.Technologies.Inc.Materials",3
"Alliance.Data.Systems.Information.Technology",4
"Allstate.Corp.Financials",2
"Altera.Corp.Information.Technology",7
"Altria.Group.Inc.Consumer.Staples",10
"Amazon.com.Inc.Consumer.Discretionary",1
"Ameren.Corp.Utilities",4
"American.Airlines.Group.Industrials",10
"American.Electric.Power.Utilities",6
"American.Express.Co.Financials",10
"American.International.Group..Inc..Financials",8
"American.Tower.Corp.A.Financials",9
"Ameriprise.Financial.Financials",7
"AmerisourceBergen.Corp.Health.Care",3
"Ametek.Industrials",2
"Amgen.Inc.Health.Care",6
"Amphenol.Corp.A.Industrials",10
"Anadarko.Petroleum.Corp.Energy",9
"Analog.Devices..Inc..Information.Technology",3
"Aon.plc.Financials",4
"Apache.Corporation.Energy",5
"Apartment.Investment...Mgmt.Financials",4
"Apple.Inc..Information.Technology",8
"Applied.Materials.Inc.Information.Technology",6
"Archer.Daniels.Midland.Co.Consumer.Staples",6
"Assurant.Inc.Financials",1
"AT.T.Inc.Telecommunications.Services",9
"Autodesk.Inc.Information.Technology",6
"Automatic.Data.Processing.Information.Technology",3
"AutoNation.Inc.Consumer.Discretionary",8
"AutoZone.Inc.Consumer.Discretionary",4
"Avago.Technologies.Information.Technology",10
"AvalonBay.Communities..Inc..Financials",8
"Avery.Dennison.Corp.Materials",1
"Baker.Hughes.Inc.Energy",7
"Ball.Corp.Materials",7
"Bank.of.America.Corp.Financials",3
"The.Bank.of.New.York.Mellon.Corp..Financials",8
"Bard..C.R...Inc..Health.Care",3
"Baxter.International.Inc..Health.Care",10
"BB.T.Corporation.Financials",8
"Becton.Dickinson.Health.Care",2
"Bed.Bath...Beyond.Consumer.Discretionary",2
"Berkshire.Hathaway.Financials",4
"Best.Buy.Co..Inc..Consumer.Discretionary",3
"BIOGEN.IDEC.Inc..Health.Care",8
"BlackRock.Financials",10
"Block.H.R.Financials",5
"Boeing.Company.Industrials",10
"BorgWarner.Consumer.Discretionary",10
"Boston.Properties.Financials",5
"Boston.Scientific.Health.Care",3
"Bristol.Myers.Squibb.Health.Care",8
"Broadcom.Corporation.Information.Technology",10
"Brown.Forman.Corporation.Consumer.Staples",10
"C..H..Robinson.Worldwide.Industrials",6
"CA..Inc..Information.Technology",2
"Cablevision.Systems.Corp..Consumer.Discretionary",6
"Cabot.Oil...Gas.Energy",3
"Cameron.International.Corp..Energy",3
"Campbell.Soup.Consumer.Staples",7
"Capital.One.Financial.Financials",1
"Cardinal.Health.Inc..Health.Care",9
"Henry.Schein.Health.Care",3
"Carmax.Inc.Consumer.Discretionary",4
"Carnival.Corp..Consumer.Discretionary",7
"Caterpillar.Inc..Industrials",5
"CBRE.Group.Financials",10
"CBS.Corp..Consumer.Discretionary",6
"Celgene.Corp..Health.Care",6
"CenterPoint.Energy.Utilities",1
"CenturyLink.Inc.Telecommunications.Services",4
"Cerner.Health.Care",3
"CF.Industries.Holdings.Inc.Materials",1
"Charles.Schwab.Corporation.Financials",8
"Chesapeake.Energy.Energy",4
"Chevron.Corp..Energy",4
"Chipotle.Mexican.Grill.Consumer.Discretionary",3
"Chubb.Corp..Financials",10
"CIGNA.Corp..Health.Care",10
"Cimarex.Energy.Energy",6
"Cincinnati.Financial.Financials",1
"Cintas.Corporation.Industrials",7
"Cisco.Systems.Information.Technology",4
"Citigroup.Inc..Financials",5
"Citrix.Systems.Information.Technology",3
"The.Clorox.Company.Consumer.Staples",4
"CME.Group.Inc..Financials",4
"CMS.Energy.Utilities",8
"Coach.Inc..Consumer.Discretionary",5
"The.Coca.Cola.Company.Consumer.Staples",5
"Coca.Cola.Enterprises.Consumer.Staples",7
"Cognizant.Technology.Solutions.Information.Technology",4
"Colgate.Palmolive.Consumer.Staples",5
"Comcast.Corp..Consumer.Discretionary",10
"Comerica.Inc..Financials",10
"Computer.Sciences.Corp..Information.Technology",5
"ConAgra.Foods.Inc..Consumer.Staples",7
"ConocoPhillips.Energy",1
"CONSOL.Energy.Inc..Energy",5
"Consolidated.Edison.Utilities",8
"Constellation.Brands.Consumer.Staples",9
"Corning.Inc..Industrials",3
"Costco.Co..Consumer.Staples",5
"Crown.Castle.International.Corp..Financials",6
"CSX.Corp..Industrials",10
"Cummins.Inc..Industrials",10
"CVS.Caremark.Corp..Consumer.Staples",8
"D..R..Horton.Consumer.Discretionary",5
"Danaher.Corp..Industrials",8
"Darden.Restaurants.Consumer.Discretionary",2
"DaVita.Inc..Health.Care",5
"Deere...Co..Industrials",2
"Delta.Air.Lines.Industrials",1
"Dentsply.International.Health.Care",9
"Devon.Energy.Corp..Energy",3
"Diamond.Offshore.Drilling.Energy",7
"DirecTV.Consumer.Discretionary",3
"Discover.Financial.Services.Financials",7
"Discovery.Communications.A.Consumer.Discretionary",7
"Discovery.Communications.C.Consumer.Discretionary",7
"Dollar.General.Consumer.Discretionary",9
"Dollar.Tree.Consumer.Discretionary",9
"Dominion.Resources.Utilities",5
"Dover.Corp..Industrials",2
"Dow.Chemical.Materials",1
"Dr.Pepper.Snapple.Group.Consumer.Staples",8
"DTE.Energy.Co..Utilities",8
"Du.Pont..E.I...Materials",5
"Duke.Energy.Utilities",6
"Dun...Bradstreet.Industrials",8
"E.Trade.Financials",5
"Eastman.Chemical.Materials",2
"Eaton.Corporation.Industrials",2
"eBay.Inc..Information.Technology",4
"Ecolab.Inc..Materials",5
"Edison.Int.l.Utilities",8
"Edwards.Lifesciences.Health.Care",9
"Electronic.Arts.Information.Technology",3
"EMC.Corp..Information.Technology",1
"Emerson.Electric.Company.Industrials",2
"Endo.International.Health.Care",10
"Ensco.plc.Energy",10
"Entergy.Corp..Utilities",2
"EOG.Resources.Energy",6
"EQT.Corporation.Energy",3
"Equifax.Inc..Financials",5
"Equinix.Information.Technology",9
"Equity.Residential.Financials",9
"Essex.Property.Trust.Inc.Financials",9
"Estee.Lauder.Cos..Consumer.Staples",10
"Eversource.Energy.Utilities",8
"Exelon.Corp..Utilities",7
"Expedia.Inc..Consumer.Discretionary",5
"Expeditors.Int.l.Industrials",7
"Express.Scripts.Health.Care",6
"Exxon.Mobil.Corp..Energy",6
"F5.Networks.Information.Technology",9
"Family.Dollar.Stores.Consumer.Discretionary",8
"Fastenal.Co.Industrials",10
"FedEx.Corporation.Industrials",10
"Fidelity.National.Information.Services.Information.Technology",8
"Fifth.Third.Bancorp.Financials",10
"First.Solar.Inc.Information.Technology",5
"FirstEnergy.Corp.Utilities",6
"Fiserv.Inc.Information.Technology",2
"FLIR.Systems.Industrials",10
"Flowserve.Corporation.Industrials",2
"Fluor.Corp..Industrials",4
"FMC.Corporation.Materials",3
"FMC.Technologies.Inc..Energy",8
"Ford.Motor.Consumer.Discretionary",6
"Fossil..Inc..Consumer.Discretionary",6
"Franklin.Resources.Financials",10
"Freeport.McMoran.Cp...Gld.Materials",7
"Frontier.Communications.Telecommunications.Services",3
"GameStop.Corp..Consumer.Discretionary",4
"Gap..The..Consumer.Discretionary",4
"Garmin.Ltd..Consumer.Discretionary",6
"General.Dynamics.Industrials",10
"General.Electric.Industrials",10
"General.Growth.Properties.Inc..Financials",8
"General.Mills.Consumer.Staples",2
"Genuine.Parts.Consumer.Discretionary",3
"Genworth.Financial.Inc..Financials",7
"Gilead.Sciences.Health.Care",8
"Goldman.Sachs.Group.Financials",10
"Goodyear.Tire...Rubber.Consumer.Discretionary",6
"Google.Inc.Class.A.Information.Technology",9
"Grainger..W.W...Inc..Industrials",10
"Halliburton.Co..Energy",9
"Hanesbrands.Inc.Consumer.Discretionary",8
"Harley.Davidson.Consumer.Discretionary",10
"Harman.Int.l.Industries.Consumer.Discretionary",8
"Harris.Corporation.Information.Technology",8
"Hartford.Financial.Svc.Gp..Financials",3
"Hasbro.Inc..Consumer.Discretionary",4
"HCP.Inc..Financials",5
"Health.Care.REIT..Inc..Financials",5
"Helmerich...Payne.Energy",4
"Hess.Corporation.Energy",3
"Hewlett.Packard.Information.Technology",1
"Home.Depot.Consumer.Discretionary",4
"Honeywell.Int.l.Inc..Industrials",10
"Hormel.Foods.Corp..Consumer.Staples",7
"Hospira.Inc..Health.Care",4
"Host.Hotels...Resorts.Financials",10
"Hudson.City.Bancorp.Financials",8
"Humana.Inc..Health.Care",3
"Huntington.Bancshares.Financials",10
"Illinois.Tool.Works.Industrials",10
"Ingersoll.Rand.PLC.Industrials",2
"Integrys.Energy.Group.Inc..Utilities",8
"Intel.Corp..Information.Technology",5
"Intercontinental.Exchange.Financials",1
"International.Bus..Machines.Information.Technology",6
"International.Paper.Materials",7
"Interpublic.Group.Consumer.Discretionary",3
"Intl.Flavors...Fragrances.Materials",2
"Intuit.Inc..Information.Technology",8
"Intuitive.Surgical.Inc..Health.Care",10
"Invesco.Ltd..Financials",4
"Iron.Mountain.Incorporated.Industrials",6
"Jacobs.Engineering.Group.Industrials",3
"Johnson...Johnson.Health.Care",6
"Johnson.Controls.Consumer.Discretionary",2
"Joy.Global.Inc..Industrials",5
"JPMorgan.Chase...Co..Financials",8
"Juniper.Networks.Information.Technology",5
"Kansas.City.Southern.Industrials",2
"Kellogg.Co..Consumer.Staples",2
"KeyCorp.Financials",4
"Keurig.Green.Mountain.Consumer.Staples",9
"Kimberly.Clark.Consumer.Staples",5
"Kimco.Realty.Financials",8
"KLA.Tencor.Corp..Information.Technology",9
"Kohl.s.Corp..Consumer.Discretionary",1
"Kroger.Co..Consumer.Staples",2
"L.Brands.Inc..Consumer.Discretionary",2
"L.3.Communications.Holdings.Industrials",3
"Laboratory.Corp..of.America.Holding.Health.Care",2
"Lam.Research.Information.Technology",1
"Legg.Mason.Financials",4
"Leggett...Platt.Industrials",5
"Lennar.Corp..Consumer.Discretionary",5
"Level.3.Communications.Telecommunications.Services",7
"Leucadia.National.Corp..Financials",7
"Lilly..Eli....Co..Health.Care",6
"Lincoln.National.Financials",5
"Linear.Technology.Corp..Information.Technology",2
"Lockheed.Martin.Corp..Industrials",5
"Loews.Corp..Financials",7
"Lowe.s.Cos..Consumer.Discretionary",4
"M.T.Bank.Corp..Financials",8
"Macerich.Financials",7
"Macy.s.Inc..Consumer.Discretionary",9
"Marathon.Oil.Corp..Energy",4
"Marriott.Int.l..Consumer.Discretionary",3
"Marsh...McLennan.Financials",3
"Martin.Marietta.Materials.Materials",5
"Masco.Corp..Industrials",6
"Mastercard.Inc..Information.Technology",6
"Mattel.Inc..Consumer.Discretionary",5
"McCormick...Co..Consumer.Staples",4
"McDonald.s.Corp..Consumer.Discretionary",9
"McGraw.Hill.Financial.Financials",9
"McKesson.Corp..Health.Care",9
"Mead.Johnson.Consumer.Staples",3
"MeadWestvaco.Corporation.Materials",7
"Medtronic.plc.Health.Care",4
"Merck...Co..Health.Care",5
"MetLife.Inc..Financials",10
"Microchip.Technology.Information.Technology",10
"Micron.Technology.Information.Technology",10
"Microsoft.Corp..Information.Technology",3
"Mohawk.Industries.Consumer.Discretionary",6
"Molson.Coors.Brewing.Company.Consumer.Staples",5
"Mondelez.International.Consumer.Staples",2
"Monsanto.Co..Materials",9
"Monster.Beverage.Consumer.Staples",9
"Moody.s.Corp.Financials",8
"Morgan.Stanley.Financials",8
"The.Mosaic.Company.Materials",7
"Motorola.Solutions.Inc..Information.Technology",9
"Murphy.Oil.Energy",6
"Mylan.N.V..Health.Care",6
"NASDAQ.OMX.Group.Financials",1
