"Date","Cluster-1","Cluster-2","Cluster-3","Cluster-4","Cluster-5","Cluster-6","Cluster-7","Cluster-8","Cluster-9","Cluster-10"
2010-01-05,407.499511350439,-60.3353988044415,-33.9092647096846,477.158610762856,-223.931601668676,301.407211833754,37.4835308933652,297.957115367816,78.9147618398256,74.6761419103326
2010-01-06,377.930744696164,24.0719835502994,-125.478180437117,189.256775109852,67.4539057194795,-62.5186855411021,1.11980776405761,292.205757708345,-46.0999130487485,202.577115810593
2010-01-07,511.842836205739,169.003315371965,-226.956394419293,776.712919667752,-80.1837654096517,233.598579848354,-41.8351028147393,-88.5518960817663,174.382830380986,72.6945022007667
2010-01-08,685.473829981572,24.7544682596214,291.807246694788,-55.3288913876328,-20.9075326863396,27.6820525788953,-58.0432960353722,268.12058968688,-111.870598806329,-94.065531822741
2010-01-11,299.669384449143,195.352920469032,-80.7878666220524,94.4143001609778,249.647229609934,-35.180767952603,38.785541443348,-240.810114976793,44.3498355966168,105.143451820143
2010-01-12,-1149.45977386293,-288.076360789526,-817.554273757289,-466.005832319971,-65.7139027040713,-541.517952812755,100.227325068487,-469.867794594245,-240.30207059401,-184.0959324928
2010-01-13,641.41609401111,449.633265431479,461.617758383235,432.010861919627,187.604365927357,533.063029540785,77.2261449831611,314.701829248947,247.127619874997,191.089381922942
2010-01-14,11.1501576610001,220.596908410622,55.9333098258863,211.706202308583,-28.9072991330298,-31.5303610394448,0.776177950846309,143.074082659901,-45.5682454236298,-81.6821633743688
2010-01-15,-969.842795515075,-253.626265016133,-724.58776792137,-635.658390520497,-136.518440828594,-335.716572690002,-95.8981510207106,-269.317299267724,-112.869204330052,-254.869267257989
2010-01-19,972.928167900526,600.192759721313,507.2800938271,519.447148200097,246.439293390478,462.843190863882,86.5566796509073,291.086172791013,267.944262425689,235.618391738918
2010-01-20,-1075.78620521459,-334.318246976789,-436.944582327367,-23.314808296016,-200.533034614912,-352.307523348242,-141.401547000273,-392.86451911461,-173.090031017131,-310.714600948016
2010-01-21,-2024.05555968611,-592.657011605156,-96.9299633760904,-655.474117938789,-337.618740329211,-586.787509382927,-186.983636481982,-475.384522292698,-421.478254664676,-251.183624505937
2010-01-22,-1689.27649760053,-373.865069616595,-1488.18642417311,-1238.68152339738,-431.590069502791,-706.009012539441,-71.2696061904273,-714.864187156329,-349.194376625214,-456.758899009635
2010-01-25,218.045289269103,6.40315448757446,250.532359485811,233.869736331461,142.606055826496,-41.6821700225072,32.0253677006459,302.991436686664,99.6882997663309,80.7722949594681
2010-01-26,-408.179123384854,-44.8525690431816,-75.2798972647004,-725.290261545275,45.4049631338067,-134.496781511749,4.5193746110341,-224.3712668565,-102.839294085849,157.490923860651
2010-01-27,-146.906638994148,-20.3804915680071,240.517232976879,855.190157545672,-97.7275696260007,142.999984017062,55.0297710077954,-167.50566174556,122.047067950726,126.191922251077
2010-01-28,-1063.52001269771,-246.70111810394,-1083.28808673112,-423.822440453998,-179.963109174548,-132.34340507006,-56.1268745074526,-282.95833665142,-114.36491588484,-199.994094865529
2010-01-29,-1073.94463777099,-24.5879114260314,-896.348620780942,-340.704268381973,-121.685793366648,-471.351461857948,-78.1256706965791,-494.007115030605,-94.0301495722003,-146.931428319124
2010-02-01,1580.69513668227,140.865679668462,779.592392784922,618.341317052917,163.539039191787,638.450409495013,114.028232696079,812.326831698194,208.268899601892,391.085108513009
2010-02-02,1310.03219905308,616.126565342312,391.528003201938,400.871573742879,175.851162369996,540.882158866989,146.481019390353,381.94172254004,209.3844285918,428.280025525221
2010-02-03,-463.108628051375,-233.397123629936,13.5491514678509,-621.367839770379,-165.48217454077,-244.959949486109,-67.3422207434116,-205.69632280683,-204.244727613168,-287.665364404443
2010-02-04,-2912.86184334479,-930.669398330633,-1231.83314416064,-1723.77295937238,-564.931105576677,-1405.93268028033,-332.796964987385,-1214.01360611877,-527.684071721006,-705.304322866039
2010-02-05,-246.491915990584,-78.0000957180493,343.255429525791,411.683405661157,-59.4104015170713,310.14402357582,-4.58987570779677,-35.6781451432113,215.056438522745,-94.0262442852921
2010-02-08,-565.086668893388,-96.0352712512713,-88.1165959166151,-630.835114667609,-211.514968909156,-187.254759266282,-60.3116539744414,-191.258218111461,-273.087997278993,17.0238677472381
2010-02-09,1470.42519033411,323.697519458091,351.531387891254,496.028123412116,212.433118250662,623.829687390017,162.911460640124,580.914905080037,33.9045657002074,375.14467055653
2010-02-10,-454.213581894354,-137.717745576291,-115.623063118634,350.952034601569,-100.374905679499,-241.647819868456,-27.6718170752091,-140.220965333115,21.3658895785279,-92.3194114180781
2010-02-11,1096.87440641792,197.715845568499,535.673212670247,143.894179804807,161.802768132684,511.616654112098,97.9379850140655,542.637771850381,84.6980927964758,332.412394756778
2010-02-12,-167.787944147145,20.5401318523931,12.8498800723811,-51.9953302713351,-124.77853818131,37.0453219661954,-46.9640520775916,-56.8864619979443,150.329665534072,83.1432639168598
2010-02-16,1599.58303603995,291.521802042407,689.123640607188,941.715190738795,389.900270734052,533.226023588149,173.602840563898,653.536449050768,525.92651381142,429.245329528937
2010-02-17,478.901908267078,374.476767191875,175.509588288782,26.5573809868956,-18.6511729862188,296.392640277666,90.690832246966,-18.2966087278753,180.740862996673,346.251066421639
2010-02-18,677.831603313255,45.2354287970998,261.161709931356,150.06859119563,134.062707611929,326.909615771181,156.659982908763,136.81558680572,134.451265705559,51.5410243190883
2010-02-19,338.840277707543,-43.308266834725,180.827841150841,340.076808032027,323.743764159984,127.479850100144,50.1122785238782,121.472635669151,4.59473961516757,91.603735438899
