"Date","Value"
2011-02-28,221.904
2011-03-01,223.044
2011-03-02,223.044
2011-03-03,223.044
2011-03-04,223.044
2011-03-07,223.044
2011-03-08,223.044
2011-03-09,223.044
2011-03-10,223.044
2011-03-11,223.044
2011-03-14,223.044
2011-03-15,223.044
2011-03-16,223.044
2011-03-17,223.044
2011-03-18,223.044
2011-03-21,223.044
2011-03-22,223.044
2011-03-23,223.044
2011-03-24,223.044
2011-03-25,223.044
2011-03-28,223.044
2011-03-29,223.044
2011-03-30,223.044
2011-03-31,223.044
2011-04-01,224.06
2011-04-04,224.06
2011-04-05,224.06
2011-04-06,224.06
2011-04-07,224.06
2011-04-08,224.06
2011-04-11,224.06
2011-04-12,224.06
2011-04-13,224.06
2011-04-14,224.06
2011-04-15,224.06
2011-04-18,224.06
2011-04-19,224.06
2011-04-20,224.06
2011-04-21,224.06
2011-04-25,224.06
2011-04-26,224.06
2011-04-27,224.06
2011-04-28,224.06
2011-04-29,224.06
2011-05-02,224.869
2011-05-03,224.869
2011-05-04,224.869
2011-05-05,224.869
2011-05-06,224.869
2011-05-09,224.869
2011-05-10,224.869
2011-05-11,224.869
2011-05-12,224.869
2011-05-13,224.869
2011-05-16,224.869
2011-05-17,224.869
2011-05-18,224.869
2011-05-19,224.869
2011-05-20,224.869
2011-05-23,224.869
2011-05-24,224.869
2011-05-25,224.869
2011-05-26,224.869
2011-05-27,224.869
2011-05-31,224.869
2011-06-01,224.841
2011-06-02,224.841
2011-06-03,224.841
2011-06-06,224.841
2011-06-07,224.841
2011-06-08,224.841
2011-06-09,224.841
2011-06-10,224.841
2011-06-13,224.841
2011-06-14,224.841
2011-06-15,224.841
2011-06-16,224.841
2011-06-17,224.841
2011-06-20,224.841
2011-06-21,224.841
2011-06-22,224.841
2011-06-23,224.841
2011-06-24,224.841
2011-06-27,224.841
2011-06-28,224.841
2011-06-29,224.841
2011-06-30,224.841
2011-07-01,225.419
2011-07-05,225.419
2011-07-06,225.419
2011-07-07,225.419
2011-07-08,225.419
2011-07-11,225.419
2011-07-12,225.419
2011-07-13,225.419
2011-07-14,225.419
2011-07-15,225.419
2011-07-18,225.419
2011-07-19,225.419
2011-07-20,225.419
2011-07-21,225.419
2011-07-22,225.419
2011-07-25,225.419
2011-07-26,225.419
2011-07-27,225.419
2011-07-28,225.419
2011-07-29,225.419
2011-08-01,226.082
2011-08-02,226.082
2011-08-03,226.082
2011-08-04,226.082
2011-08-05,226.082
2011-08-08,226.082
2011-08-09,226.082
2011-08-10,226.082
2011-08-11,226.082
2011-08-12,226.082
2011-08-15,226.082
2011-08-16,226.082
2011-08-17,226.082
2011-08-18,226.082
2011-08-19,226.082
2011-08-22,226.082
2011-08-23,226.082
2011-08-24,226.082
2011-08-25,226.082
2011-08-26,226.082
2011-08-29,226.082
2011-08-30,226.082
2011-08-31,226.082
2011-09-01,226.676
2011-09-02,226.676
2011-09-06,226.676
2011-09-07,226.676
2011-09-08,226.676
2011-09-09,226.676
2011-09-12,226.676
2011-09-13,226.676
2011-09-14,226.676
2011-09-15,226.676
2011-09-16,226.676
2011-09-19,226.676
2011-09-20,226.676
2011-09-21,226.676
2011-09-22,226.676
2011-09-23,226.676
