Date,Quote
1/4/2010,1132.98999
1/5/2010,1136.52002
1/6/2010,1137.140015
1/7/2010,1141.689941
1/8/2010,1144.97998
1/11/2010,1146.97998
1/12/2010,1136.219971
1/13/2010,1145.680054
1/14/2010,1148.459961
1/15/2010,1136.030029
1/19/2010,1150.22998
1/20/2010,1138.040039
1/21/2010,1116.47998
1/22/2010,1091.76001
1/25/2010,1096.780029
1/26/2010,1092.170044
1/27/2010,1097.5
1/28/2010,1084.530029
1/29/2010,1073.869995
2/1/2010,1089.189941
2/2/2010,1103.319946
2/3/2010,1097.280029
2/4/2010,1063.109985
2/5/2010,1066.189941
2/8/2010,1056.73999
2/9/2010,1070.52002
2/10/2010,1068.130005
2/11/2010,1078.469971
2/12/2010,1075.51001
2/16/2010,1094.869995
2/17/2010,1099.51001
2/18/2010,1106.75
2/19/2010,1109.170044
2/22/2010,1108.01001
2/23/2010,1094.599976
2/24/2010,1105.23999
2/25/2010,1102.939941
2/26/2010,1104.48999
3/1/2010,1115.709961
3/2/2010,1118.310059
3/3/2010,1118.790039
3/4/2010,1122.969971
3/5/2010,1138.699951
3/8/2010,1138.5
3/9/2010,1140.449951
3/10/2010,1145.609985
3/11/2010,1150.23999
3/12/2010,1149.98999
3/15/2010,1150.51001
3/16/2010,1159.459961
3/17/2010,1166.209961
3/18/2010,1165.829956
3/19/2010,1159.900024
3/22/2010,1165.810059
3/23/2010,1174.170044
3/24/2010,1167.719971
3/25/2010,1165.72998
3/26/2010,1166.589966
3/29/2010,1173.219971
3/30/2010,1173.27002
3/31/2010,1169.430054
4/1/2010,1178.099976
4/5/2010,1187.439941
4/6/2010,1189.439941
4/7/2010,1182.449951
4/8/2010,1186.439941
4/9/2010,1194.369995
4/12/2010,1196.47998
4/13/2010,1197.300049
4/14/2010,1210.650024
4/15/2010,1211.670044
4/16/2010,1192.130005
4/19/2010,1197.52002
4/20/2010,1207.170044
4/21/2010,1205.939941
4/22/2010,1208.670044
4/23/2010,1217.280029
4/26/2010,1212.050049
4/27/2010,1183.709961
4/28/2010,1191.359985
4/29/2010,1206.780029
4/30/2010,1186.689941
5/3/2010,1202.26001
5/4/2010,1173.599976
5/5/2010,1165.869995
5/6/2010,1128.150024
5/7/2010,1110.880005
5/10/2010,1159.72998
5/11/2010,1155.790039
5/12/2010,1171.670044
5/13/2010,1157.439941
5/14/2010,1135.680054
5/17/2010,1136.939941
5/18/2010,1120.800049
5/19/2010,1115.050049
5/20/2010,1071.589966
5/21/2010,1087.689941
5/24/2010,1073.650024
5/25/2010,1074.030029
5/26/2010,1067.949951
5/27/2010,1103.060059
5/28/2010,1089.410034
6/1/2010,1070.709961
6/2/2010,1098.380005
6/3/2010,1102.829956
6/4/2010,1064.880005
6/7/2010,1050.469971
6/8/2010,1062
6/9/2010,1055.689941
6/10/2010,1086.839966
6/11/2010,1091.599976
6/14/2010,1089.630005
6/15/2010,1115.22998
6/16/2010,1114.609985
6/17/2010,1116.040039
6/18/2010,1117.51001
6/21/2010,1113.199951
6/22/2010,1095.310059
6/23/2010,1092.040039
6/24/2010,1073.689941
6/25/2010,1076.76001
6/28/2010,1074.569946
6/29/2010,1041.23999
6/30/2010,1030.709961
7/1/2010,1027.369995
7/2/2010,1022.580017
7/6/2010,1028.060059
7/7/2010,1060.27002
7/8/2010,1070.25
7/9/2010,1077.959961
7/12/2010,1078.75
7/13/2010,1095.339966
7/14/2010,1095.170044
7/15/2010,1096.47998
7/16/2010,1064.880005
7/19/2010,1071.25
7/20/2010,1083.47998
7/21/2010,1069.589966
7/22/2010,1093.670044
7/23/2010,1102.660034
7/26/2010,1115.01001
7/27/2010,1113.839966
7/28/2010,1106.130005
7/29/2010,1101.530029
7/30/2010,1101.599976
8/2/2010,1125.859985
8/3/2010,1120.459961
8/4/2010,1127.23999
8/5/2010,1125.810059
8/6/2010,1121.640015
8/9/2010,1127.790039
8/10/2010,1121.060059
8/11/2010,1089.469971
8/12/2010,1083.609985
8/13/2010,1079.25
8/16/2010,1079.380005
8/17/2010,1092.540039
8/18/2010,1094.160034
8/19/2010,1075.630005
8/20/2010,1071.689941
8/23/2010,1067.359985
8/24/2010,1051.869995
8/25/2010,1055.329956
8/26/2010,1047.219971
8/27/2010,1064.589966
8/30/2010,1048.920044
8/31/2010,1049.329956
9/1/2010,1080.290039
9/2/2010,1090.099976
9/3/2010,1104.51001
9/7/2010,1091.839966
9/8/2010,1098.869995
9/9/2010,1104.180054
9/10/2010,1109.550049
9/13/2010,1121.900024
9/14/2010,1121.099976
9/15/2010,1125.069946
9/16/2010,1124.660034
9/17/2010,1125.589966
9/20/2010,1142.709961
9/21/2010,1139.780029
9/22/2010,1134.280029
9/23/2010,1124.829956
9/24/2010,1148.670044
9/27/2010,1142.160034
9/28/2010,1147.699951
9/29/2010,1144.72998
9/30/2010,1141.199951
10/1/2010,1146.23999
10/4/2010,1137.030029
10/5/2010,1160.75
10/6/2010,1159.969971
10/7/2010,1158.060059
10/8/2010,1165.150024
10/11/2010,1165.319946
10/12/2010,1169.77002
10/13/2010,1178.099976
10/14/2010,1173.810059
10/15/2010,1176.189941
10/18/2010,1184.709961
10/19/2010,1165.900024
10/20/2010,1178.170044
10/21/2010,1180.26001
10/22/2010,1183.079956
10/25/2010,1185.619995
10/26/2010,1185.640015
10/27/2010,1182.449951
10/28/2010,1183.780029
10/29/2010,1183.26001
11/1/2010,1184.380005
11/2/2010,1193.569946
11/3/2010,1197.959961
11/4/2010,1221.060059
11/5/2010,1225.849976
11/8/2010,1223.25
11/9/2010,1213.400024
11/10/2010,1218.709961
11/11/2010,1213.540039
11/12/2010,1199.209961
11/15/2010,1197.75
11/16/2010,1178.339966
11/17/2010,1178.589966
11/18/2010,1196.689941
11/19/2010,1199.72998
11/22/2010,1197.839966
11/23/2010,1180.72998
11/24/2010,1198.349976
11/26/2010,1189.400024
11/29/2010,1187.76001
11/30/2010,1180.550049
12/1/2010,1206.069946
12/2/2010,1221.530029
12/3/2010,1224.709961
12/6/2010,1223.119995
12/7/2010,1223.75
12/8/2010,1228.280029
12/9/2010,1233
