"Date","X3M.Conglomerate","American.Express.Consumer.finance","Apple.Consumer.electronics","Boeing.Aerospace.and.defense","Caterpillar.Construction.and.mining.equipment","Chevron.Oil...gas","Cisco.Systems.Computer.networking","Coca.Cola.Beverages","DuPont.Chemical.industry","ExxonMobil.Oil...gas","General.Electric.Conglomerate","Goldman.Sachs.Banking..Financial.services","The.Home.Depot.Home.improvement.retailer","Intel.Semiconductors","IBM.Computers.and.technology","Johnson...Johnson.Pharmaceuticals","JPMorgan.Chase.Banking","McDonald.s.Fast.food","Merck.Pharmaceuticals","Microsoft.Consumer.electronics","Nike.Apparel","Pfizer.Pharmaceuticals","Procter...Gamble.Consumer.goods","Travelers.Insurance","UnitedHealth.Group.Managed.health.care","United.Technologies.Conglomerate","Verizon.Telecommunication","Visa.Consumer.banking","Wal.Mart.Retail","Walt.Disney.Broadcasting.and.entertainment"
2010-01-26,71.230882,35.413619,27.635174,50.774765,49.200176,61.444297,20.598704,23.032114,27.352001,56.977661,13.61578,140.704149,24.250044,16.637939,112.633583,52.538117,34.032442,53.466597,31.20396,25.515199,29.548199,15.295719,51.454881,43.571875,29.962542,60.280512,21.840533,19.46713,46.820477,27.719276
2010-01-27,71.815534,35.943428,27.8955,54.487632,47.077124,61.071401,20.823581,23.189518,27.402036,56.649212,13.57414,141.282329,24.34624,16.837594,113.153087,53.081988,34.820397,53.399563,31.252487,25.662235,29.668728,15.474902,51.556623,44.153067,30.701449,59.523373,21.623355,20.129229,46.637074,27.401523
2010-01-28,70.462991,34.790861,26.742807,55.041924,45.68525,60.690224,20.256892,23.049131,26.951728,56.14789,13.457553,142.951599,23.908988,16.571388,110.842194,53.38321,34.953196,52.645452,30.710584,25.221125,29.446213,15.173548,52.294235,43.606574,30.876937,59.312081,21.232441,19.826966,45.947124,27.42956
2010-01-29,70.236111,35.004644,25.772608,53.317462,46.020006,59.762141,20.211916,23.07891,27.19356,55.689788,13.390932,138.689823,24.494906,16.138801,109.624049,52.596687,34.475112,52.31029,30.880434,24.373502,29.552834,15.197982,52.184016,43.953551,30.479776,59.408925,21.297593,19.678233,46.663274,27.616473
2010-02-01,70.192485,35.515863,26.130897,54.285273,46.636657,60.971967,20.445788,23.134215,28.069157,57.202393,13.532503,142.802401,24.827218,16.3135,111.666231,52.789134,35.085998,53.533627,30.977491,24.572434,29.715085,15.303864,52.557064,43.9709,30.599849,59.470552,21.435138,20.069256,46.706941,27.588437
2010-02-02,70.183757,36.268753,26.282534,54.496429,47.174028,61.692888,20.706646,23.419244,28.044141,57.876581,14.032165,146.35544,25.386903,16.563068,112.436529,53.54219,35.900509,53.650933,31.980419,24.615679,29.636278,15.670374,53.328591,44.31788,31.449587,59.893137,21.522011,20.153218,46.715676,28.018337
2010-02-03,71.117446,35.627405,26.734757,54.443279,47.033078,60.665365,20.75162,23.342668,27.927395,57.565416,13.890594,146.625875,24.897178,16.502693,112.552973,53.240968,35.670322,54.639659,31.317193,24.762716,29.668728,15.308624,53.116633,43.866808,30.775337,60.078018,21.131096,20.03567,47.396891,28.737955
2010-02-04,69.119175,34.883809,25.771266,52.547597,45.280021,59.140655,20.832576,22.730067,27.118509,55.940449,13.357622,140.517626,24.424946,15.949249,110.170423,52.412606,33.952762,53.676069,30.006916,24.079428,28.783302,14.82355,52.056844,43.138152,29.981015,58.440487,20.725702,19.922923,46.261532,27.728622
2010-02-05,68.534531,35.181246,26.22886,51.732633,45.588347,58.98321,21.318311,22.585425,27.293628,56.009598,13.149429,143.762933,24.468671,16.326596,110.636181,52.412606,33.908495,53.097917,29.707656,24.235114,28.602508,14.765997,51.972059,43.615247,30.054907,58.546136,20.805334,19.805375,46.680741,27.607129
2010-02-08,67.653196,34.195987,26.049045,51.280856,44.73384,58.113126,21.138409,22.398242,26.84332,55.983494,12.991203,140.909312,25.00212,16.225971,109.655504,52.18669,33.377293,52.72086,29.594423,23.975637,28.417078,14.667339,51.726187,42.548287,29.934835,57.577705,20.537485,19.922923,46.226597,27.551053
2010-02-09,68.6916,34.893106,26.326814,52.919649,47.156409,59.090932,21.489216,22.976809,27.418714,56.722979,12.991203,142.205566,25.246982,16.477536,110.852108,52.513013,33.988176,53.265499,29.497367,24.226465,28.978002,14.700224,52.36206,42.99936,30.479776,58.563741,20.812574,19.975697,46.50607,27.887498
2010-02-10,68.604341,35.088298,26.183238,52.742481,46.821656,58.62689,21.372281,22.883218,27.342717,56.418486,13.066151,143.268679,25.05459,16.511079,110.492226,52.487912,34.413138,52.99737,29.278987,24.209166,29.038267,14.585123,52.285755,43.103453,30.211923,58.669391,20.899447,20.094623,46.497338,28.065067
2010-02-11,70.044136,35.590224,26.659611,53.672605,49.464459,59.438969,21.525197,23.066148,27.486269,56.75778,13.132774,143.660352,25.351922,16.821342,111.319956,52.638523,34.545941,53.449838,29.828979,24.321607,29.181976,14.692004,52.531627,43.545853,30.590611,58.731018,21.022511,20.455,46.357601,28.18656
2010-02-12,69.092998,35.711056,26.889071,52.839924,49.508505,59.405508,21.372281,22.964047,27.258272,56.374991,12.949564,143.548435,25.360667,17.131607,111.562872,52.479546,34.483967,53.282257,29.86133,24.157271,28.968732,14.634452,52.36206,43.762715,29.7224,57.83302,20.942878,20.368509,46.200397,28.102448
2010-02-16,70.218662,36.826446,27.294328,54.266111,50.318963,61.061932,21.588162,23.321398,27.646713,57.662564,13.357622,146.784408,25.74545,17.374786,112.669507,53.224233,35.475546,53.634178,30.459852,24.635203,29.506478,14.568679,53.269243,44.768953,29.214403,58.396471,21.123856,20.632785,46.77681,28.476275
2010-02-17,70.389938,36.296636,27.180265,54.762179,50.653719,60.936443,21.651127,23.538362,27.976041,57.210175,13.449225,146.65385,26.252663,17.324473,113.659176,53.533821,35.448987,53.843654,30.201032,24.843755,29.891245,14.527572,53.286196,44.890396,30.064142,59.676842,21.094903,20.762521,47.213487,28.840758
2010-02-18,71.241926,36.389587,27.231261,55.71002,50.92681,61.588981,21.840024,23.785103,28.389811,57.384169,13.524175,145.22704,26.497524,17.475413,114.990729,53.994021,35.776562,54.027994,30.160592,25.173961,29.872702,14.576901,53.744026,45.74917,30.19345,60.350258,21.102136,20.892257,46.698209,28.990288
2010-02-19,71.602041,36.305933,27.06218,56.330103,51.314419,61.94871,21.911985,23.704274,28.736028,57.305874,13.465881,145.646688,26.366348,17.458641,114.432919,53.800103,35.440132,54.245844,30.322355,25.000169,29.830978,14.790663,53.794897,45.870612,29.500729,60.713543,21.008032,20.856219,46.715676,29.186547
2010-02-22,70.864241,36.185098,26.894444,56.666721,51.120613,61.036835,21.858013,23.559632,28.693807,56.89698,13.532503,146.140956,26.515014,17.50057,114.127017,53.530302,36.16611,54.27098,30.023093,24.965409,29.812435,14.757777,53.76946,46.009403,30.553668,60.607219,20.993551,20.880245,47.012616,29.083745
2010-02-23,70.012253,35.255607,26.443565,55.603721,49.913734,60.267184,21.633137,23.325653,28.440478,56.496788,13.282672,146.131621,26.891052,17.098064,113.776135,53.378538,35.307333,54.354775,29.529717,24.617823,29.728991,14.527572,53.591416,45.419539,30.304288,60.066715,20.805334,20.690447,46.82921,28.896831
2010-02-24,70.328455,35.701762,26.926645,56.232661,50.178013,60.518154,21.893994,23.46604,28.693807,57.027479,13.424243,147.651693,27.424501,17.358016,114.792794,53.496576,36.16611,54.681557,29.869419,24.878512,30.099852,14.642674,54.167942,45.792541,31.052426,60.802155,20.964599,20.572722,47.091215,29.336077
