"Company","Intercept","coef"
"X3M.Company.Industrials",5.46335873844602e-17,0.000348456411180259
"Abbott.Laboratories.Health.Care",-1.44822912557931e-17,0.00168984353013836
"Accenture.plc.Information.Technology",5.61529847781156e-17,0.000745721005440131
"ACE.Limited.Financials",1.06879084528922e-18,0.00177983948098482
"Adobe.Systems.Inc.Information.Technology",-6.36329412891414e-17,0.00186905974738987
"AES.Corp.Utilities",-1.89168631729064e-17,0.00445563821433583
"Aetna.Inc.Health.Care",2.69189269625562e-17,0.0035606600456028
"AFLAC.Inc.Financials",-7.87132693704447e-17,0.00299633848084198
"Affiliated.Managers.Group.Inc.Financials",-6.39594079083233e-18,0.00274597297236194
"Agilent.Technologies.Inc.Health.Care",1.39979664785042e-16,0.00105465838076014
"AGL.Resources.Inc..Utilities",2.82592629489626e-16,0.00423042696123324
"Air.Products...Chemicals.Inc.Materials",1.19556806893282e-16,0.00060196506655404
"Airgas.Inc.Materials",6.38278310970477e-18,0.000507712187415046
"Akamai.Technologies.Inc.Information.Technology",1.08826004258364e-16,0.00269228063610628
"Alcoa.Inc.Materials",1.99695165909651e-16,0.00102672058130109
"Allergan.plc.Health.Care",7.98408665868003e-17,0.00342152227474037
"Alexion.Pharmaceuticals.Health.Care",2.62630365285447e-16,0.00494974362097239
"Allegheny.Technologies.Inc.Materials",-4.81229457798931e-17,0.00228205119022549
"Alliance.Data.Systems.Information.Technology",-1.61881732384164e-17,0.00146575620671056
"Allstate.Corp.Financials",-8.73293927563386e-17,0.00244016539094131
"Altera.Corp.Information.Technology",4.20928784160324e-17,0.00389115364339285
"Altria.Group.Inc.Consumer.Staples",1.1394892037897e-17,0.00401137241948861
"Amazon.com.Inc.Consumer.Discretionary",-3.71643437602668e-17,0.00238261257555187
"Ameren.Corp.Utilities",-5.43308649809866e-18,0.00547664026148273
"American.Airlines.Group.Industrials",-3.8763998018148e-16,0.00248784602019348
"American.Electric.Power.Utilities",-3.19085919825746e-17,0.00506865375691565
"American.Express.Co.Financials",1.80788326756839e-17,0.00223382884660142
"American.International.Group..Inc..Financials",-1.34988451046934e-17,0.00414172381742283
"American.Tower.Corp.A.Financials",2.65716001082869e-17,0.00257193386450363
"Ameriprise.Financial.Financials",-8.71238709085032e-17,0.0033834061608497
"AmerisourceBergen.Corp.Health.Care",4.81980071793735e-18,0.00247408858711575
"Ametek.Industrials",5.4245712766574e-17,0.00114129615975013
"Amgen.Inc.Health.Care",-8.28334773526341e-18,0.00366195951456543
"Amphenol.Corp.A.Industrials",1.87896107297214e-16,0.00155620429553068
"Anadarko.Petroleum.Corp.Energy",4.47280730265368e-18,0.00452506783266476
"Analog.Devices..Inc..Information.Technology",3.61360430021663e-17,0.00260342640043172
"Aon.plc.Financials",-3.6062704933453e-17,0.00145239808049373
"Apache.Corporation.Energy",5.2557321517395e-17,0.00398641662584117
"Apartment.Investment...Mgmt.Financials",-8.61319030464782e-17,0.00937243612414233
"Apple.Inc..Information.Technology",3.46310071681763e-17,0.000975989836664941
"Applied.Materials.Inc.Information.Technology",3.02543012261569e-17,0.002634015963197
"Archer.Daniels.Midland.Co.Consumer.Staples",1.68147107217911e-17,0.00260397953388666
"Assurant.Inc.Financials",-1.65456696880558e-17,0.00268258749781173
"AT.T.Inc.Telecommunications.Services",-1.87430775712942e-17,0.00242630691765095
"Autodesk.Inc.Information.Technology",-4.6809337594821e-17,0.00290175918441458
"Automatic.Data.Processing.Information.Technology",6.88778631435915e-18,0.000897088920441659
"AutoNation.Inc.Consumer.Discretionary",3.40173789318757e-17,0.00275247264320166
"AutoZone.Inc.Consumer.Discretionary",-6.19709964546177e-17,0.00225500199464977
"Avago.Technologies.Information.Technology",-7.88546037964011e-18,0.0038292037191293
"AvalonBay.Communities..Inc..Financials",8.86646435526757e-17,0.0087371144019383
"Avery.Dennison.Corp.Materials",-9.00101074585005e-17,0.00107623993037368
"Baker.Hughes.Inc.Energy",1.15113431779003e-16,0.00394585657027566
"Ball.Corp.Materials",1.00358172133765e-16,0.000540954623463193
"Bank.of.America.Corp.Financials",1.64768099196248e-16,0.00648889394889074
"The.Bank.of.New.York.Mellon.Corp..Financials",-2.36975325454182e-17,0.00384213547918321
"Bard..C.R...Inc..Health.Care",3.45157953059636e-17,0.00242866687545183
"Baxter.International.Inc..Health.Care",-1.33345235141057e-17,0.00213942451344012
"BB.T.Corporation.Financials",8.70798682341566e-17,0.00943895360686689
"Becton.Dickinson.Health.Care",-8.94326386682163e-17,0.00205213700655673
"Bed.Bath...Beyond.Consumer.Discretionary",3.93847615154297e-17,0.00360316393502537
"Berkshire.Hathaway.Financials",-2.74555416643936e-17,0.00152174264475384
"Best.Buy.Co..Inc..Consumer.Discretionary",2.14247506714405e-16,0.00335847005398774
"BIOGEN.IDEC.Inc..Health.Care",2.60145424776084e-17,0.00443946925392483
"BlackRock.Financials",-7.52534648147047e-17,0.00237435725102202
"Block.H.R.Financials",-2.08970780109118e-16,0.000750633027638759
"Boeing.Company.Industrials",-1.42332623653271e-16,0.000771303074099257
"BorgWarner.Consumer.Discretionary",-1.62277706626849e-16,0.00164651400883858
"Boston.Properties.Financials",-1.03886569445433e-16,0.00773779344988458
"Boston.Scientific.Health.Care",1.58667571205152e-16,0.00392580841963872
"Bristol.Myers.Squibb.Health.Care",7.04667812700836e-17,0.00240829426007346
"Broadcom.Corporation.Information.Technology",1.66167183209463e-16,0.00336934034858517
"Brown.Forman.Corporation.Consumer.Staples",2.8357322121386e-17,0.00442488246544997
"C..H..Robinson.Worldwide.Industrials",4.33329992549077e-18,0.000885230962588239
"CA..Inc..Information.Technology",6.87176831708746e-17,0.00118326645418972
"Cablevision.Systems.Corp..Consumer.Discretionary",-4.7734847776422e-17,0.00100094226432858
"Cabot.Oil...Gas.Energy",1.46425435374547e-16,0.00490414054893038
"Cameron.International.Corp..Energy",1.43330100059812e-16,0.00454409142642544
"Campbell.Soup.Consumer.Staples",5.51280398683134e-18,0.00489026488458345
"Capital.One.Financial.Financials",-4.26792710577309e-17,0.00548464180477475
"Cardinal.Health.Inc..Health.Care",1.01894900526751e-16,0.00255009478715249
"Henry.Schein.Health.Care",8.53436130801873e-17,0.00238870007520248
"Carmax.Inc.Consumer.Discretionary",-5.60862557937716e-18,0.00132449104315646
"Carnival.Corp..Consumer.Discretionary",-4.92056661267496e-17,0.000921453209840222
"Caterpillar.Inc..Industrials",1.07199391773543e-16,0.00139896343403656
"CBRE.Group.Financials",-4.54168917666971e-17,0.00248073266558263
"CBS.Corp..Consumer.Discretionary",7.26059642137305e-18,0.0010434340680995
"Celgene.Corp..Health.Care",2.03777831930393e-16,0.00444785418665798
"CenterPoint.Energy.Utilities",2.92038316091265e-17,0.00449796233489206
"CenturyLink.Inc.Telecommunications.Services",1.21834193910148e-17,0.00297411649603712
"Cerner.Health.Care",-4.5327980186267e-16,0.000969936980485917
"CF.Industries.Holdings.Inc.Materials",-1.26757702448818e-17,0.00126807440115961
"Charles.Schwab.Corporation.Financials",-2.19617243643582e-17,0.00356070490472467
"Chesapeake.Energy.Energy",1.80204683497059e-16,0.00565277272112785
"Chevron.Corp..Energy",4.26266038266885e-17,0.00180291794962431
"Chipotle.Mexican.Grill.Consumer.Discretionary",-1.41623726795398e-16,0.00400674559181169
"Chubb.Corp..Financials",8.13729321945185e-17,0.0014552567656548
"CIGNA.Corp..Health.Care",3.5833586708673e-17,0.0032221462436755
"Cimarex.Energy.Energy",6.2236487797673e-17,0.00491218680788057
"Cincinnati.Financial.Financials",7.99860772175002e-18,0.0018769954504207
"Cintas.Corporation.Industrials",-1.72225771520342e-17,0.000534065062500534
"Cisco.Systems.Information.Technology",5.07708299463517e-19,0.0014118378864262
"Citigroup.Inc..Financials",-1.90238567318822e-16,0.00545319165490951
"Citrix.Systems.Information.Technology",-5.21524484739492e-17,0.00369982970276829
"The.Clorox.Company.Consumer.Staples",1.05893070100496e-16,0.00362959752599035
"CME.Group.Inc..Financials",-8.26118840311126e-18,0.0028042492346418
"CMS.Energy.Utilities",4.6038199413583e-17,0.00529913318404034
"Coach.Inc..Consumer.Discretionary",5.33658558213892e-17,0.00500011801445895
"The.Coca.Cola.Company.Consumer.Staples",-2.6756274296643e-17,0.00348643956851937
"Coca.Cola.Enterprises.Consumer.Staples",1.14907386699254e-16,0.00360827363438349
"Cognizant.Technology.Solutions.Information.Technology",1.20438535423044e-17,0.00195255525000451
"Colgate.Palmolive.Consumer.Staples",-1.68001445775796e-17,0.00444238497796898
"Comcast.Corp..Consumer.Discretionary",1.2099511040757e-16,0.000550180210842015
"Comerica.Inc..Financials",6.88892585884493e-17,0.0114219968572264
"Computer.Sciences.Corp..Information.Technology",-9.07648531837786e-17,0.000709929543341807
"ConAgra.Foods.Inc..Consumer.Staples",-7.48746042928562e-19,0.00391056611973674
"ConocoPhillips.Energy",8.1856164430236e-17,0.00242899324132027
"CONSOL.Energy.Inc..Energy",-1.63840641097842e-16,0.00454495995070893
"Consolidated.Edison.Utilities",2.27823931099456e-17,0.00475620273283713
"Constellation.Brands.Consumer.Staples",-1.16811040814109e-16,0.00379140590535988
"Corning.Inc..Industrials",9.33290101769457e-17,0.000588315983201903
"Costco.Co..Consumer.Staples",-3.91224143060962e-17,0.00315475487093505
"Crown.Castle.International.Corp..Financials",5.03075348765111e-17,0.00220144887205294
"CSX.Corp..Industrials",9.19388571837124e-17,0.00106250282161528
"Cummins.Inc..Industrials",-3.45900005157381e-17,0.00203686454180555
"CVS.Caremark.Corp..Consumer.Staples",-4.27484058343901e-17,0.00251725663206569
"D..R..Horton.Consumer.Discretionary",-1.60275117166286e-16,0.00476118829056871
"Danaher.Corp..Industrials",2.84304770449705e-17,0.000641317262105159
"Darden.Restaurants.Consumer.Discretionary",3.09073403030837e-17,0.00288012439543191
"DaVita.Inc..Health.Care",1.140850143125e-16,0.00256561891869598
"Deere...Co..Industrials",-1.73206168929909e-17,0.00117980825957087
"Delta.Air.Lines.Industrials",-3.03035162013949e-16,0.00185190396808047
"Dentsply.International.Health.Care",-1.34488473534304e-16,0.00173942455355577
"Devon.Energy.Corp..Energy",3.58146481326804e-17,0.004020267181131
"Diamond.Offshore.Drilling.Energy",1.33001747860936e-16,0.00429027433284156
"DirecTV.Consumer.Discretionary",-3.83065832727414e-17,0.000876299271896928
